,par_id,text,label
0,4341,"The scheme saw an estimated 150,000 children from poor families being sent to parts of the British Empire between 1920 and 1974 , by religious orders and charities who said they would lead better lives .",1
1,4341,"The scheme saw an estimated 150,000 children from poor families being sent to parts of the British Empire between 1920 and 1974 , by religious orders and charities who said they would lead better lives .",1
2,4341,"The scheme saw an estimated 150,000 children from poor families being sent to parts of the British Empire between 1920 and 1974 , by religious orders and charities who said they would lead better lives .",1
3,4341,"The scheme had saw an initially estimated 150, 000 children from poor families being sent to parts of of the British Empire Overseas between 1920 and January 1974, supported by national religious orders councils and charities who usually said they would lead better paid lives.",1
4,4341,"The scheme allegedly saw an estimated 150, 000 children from 150 poor families being sent off to parts one of the struggling British Empire between 1920 and 1974, accompanied by religious birth orders and charities overseas who said they would lead even better human lives.",1
5,4341,"UK The scheme saw an estimated 150, 000 children from very poor families first being sent to parts of the British Empire overseas between 1920 and around 1974, sheltered by private religious welfare orders organizations and charities who said only they would lead better lives.",1
6,4136,Durban 's homeless communities reconciliation lunch,1
7,4136,Durban 's homeless communities reconciliation lunch,1
8,4136,Durban 's homeless communities reconciliation lunch,1
9,4136,in Durban'A s largest homeless communities reconciliation lunch,1
10,4136,Durban'where s homeless communities on reconciliation dinner lunch,1
11,4136,Greater Durban's offering homeless communities a reconciliation lunch,1
12,10352,"The next immediate problem that cropped up was how to assist the unfortunate couple , as neither of them possessed a birth certificate , a marriage certificate , or even an identity card . The Samurdhi Officer Dhanapala lamented explaining how agonizing it was for him to bear , when he came across the majority of poor families in the village did not possess even an ID to assist them officially .",1
13,10352,"The next immediate problem that cropped up was how to assist the unfortunate couple , as neither of them possessed a birth certificate , a marriage certificate , or even an identity card . The Samurdhi Officer Dhanapala lamented explaining how agonizing it was for him to bear , when he came across the majority of poor families in the village did not possess even an ID to assist them officially .",1
14,10352,"The next immediate problem that cropped up was how to assist the unfortunate couple , as neither of them possessed a birth certificate , a marriage certificate , or even an identity card . The Samurdhi Officer Dhanapala lamented explaining how agonizing it was for him to bear , when he came across the majority of poor families in the village did not possess even an ID to assist them officially .",1
15,10352,"The next immediate important problem to that cropped up was how to assist the unfortunate poor couple, as neither side of them possessed himself a birth certificate, only a marriage certificate, or even an identity card. The Samurdhi Officer Dhanapala lamented explaining how agonizing it was for him to bear, when he came across the majority of poor families in only the village they did not possess even an ID yet to assist with them officially.",1
16,10352,"The next immediate problem that cropped up was how to properly assist identify the unfortunate couple, as neither a of them possessed a birth name certificate, a marriage certificate, or even only an identity business card. The Samurdhi Village Officer Dhanapala lamented explaining how agonizing it was for him to bear, when he actually came from across the majority of poor families in the village did not possess even an ID to really assist them officially.",1
17,10352,"The next ever immediate problem that cropped up was how to assist the unfortunate elderly couple, knowing as neither of them possessed a birth certificate certificate, a marriage certificate, or even an identity card. When The Samurdhi Tribal Officer Dhanapala lamented explaining how agonizing it was for having him to bear, when he soon came across the majority families of poor families in the village did not really possess even an ID to assist them officially.",1
18,8279,"Far more important than the implications for the Economy Gods ( is the dollar up or down ? ) last night 's outcome will also mean many , many vulnerable New Zealanders will have a better life over the next three years at least .",1
19,8279,"Far more important than the implications for the Economy Gods ( is the dollar up or down ? ) last night 's outcome will also mean many , many vulnerable New Zealanders will have a better life over the next three years at least .",1
20,8279,"Far more important than the implications for the Economy Gods ( is the dollar up or down ? ) last night 's outcome will also mean many , many vulnerable New Zealanders will have a better life over the next three years at least .",1
21,8279,"[UNK] Far more important than on the international implications and for the Economy Gods ( is the global dollar always up or down? ) last night's outcome will also mean to many, many vulnerable New Zealanders will have a better married life over into the next three years even at least.",1
22,8279,"Far more important than the implications for us the Economy Gods ( what is the dollar rushing up or down? ) last night's outcome that will undoubtedly also mean so many, many vulnerable New Zealanders there will have a much better life gone over as the next three years at least.",1
23,8279,"Far more important than the implications for all the Economy Gods ( is like the dollar moving up or down? ) last previous night's outcome will soon also likely mean for many, rather many vulnerable New Zealanders will not have a better life options over the next three years at least.",1
24,1164,"To strengthen child-sensitive social protection systems , including cash transfer programmes that directly help poor families to pay for food , health care , education and other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their own lives .",1
25,1164,"To strengthen child-sensitive social protection systems , including cash transfer programmes that directly help poor families to pay for food , health care , education and other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their own lives .",1
26,1164,"To strengthen child-sensitive social protection systems , including cash transfer programmes that directly help poor families to pay for food , health care , education and other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their own lives .",1
27,1164,"To strengthen child - centered sensitive and social protection systems, including innovative cash transfer programmes programmes that more directly help poor families how to pay for food, health care, education and certain other services that protect children from the impact of poverty reduction and improve their chances of breaking the development cycle in their two own lives.",1
28,1164,"To strengthen child - sensitive local social property protection support systems, including cash money transfer programmes that that would directly help poor families to pay less for food, better health care, education and other services that protect children from all the impact impacts of poverty and improve their chances of breaking the cycle in their own lives.",1
29,1164,"To strengthen urban child - living sensitive systemic social protection systems, including cash transfer programmes that will directly help severely poor families to pay more for essential food, improve health care, education and other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their two own personal lives.",1
30,7568,"Today , homeless women are still searching for the same thing . A place to sleep and be safe .",1
31,7568,"Today , homeless women are still searching for the same thing . A place to sleep and be safe .",1
32,7568,"Today , homeless women are still searching for the same thing . A place to sleep and be safe .",1
33,7568,"Today, homeless women are still out searching desperately for them the same perfect thing. 10 A nice place to sleep and be safe.",1
34,7568,"Today, homeless working women tonight are still frantically searching homes for the same very thing. A place... to sleep and be safe.",1
35,7568,"5 Today, the homeless Italian women still are still searching again for the same thing. A perfect place to sleep and be safe.",1
36,6027,"As a member of Care of Hope , Barnett provides food for the street people catered to by the foundation on a regular basis . She , however , does n't mind having to cook to feed the homeless and the needy she said , because this is basically something that is already up her alley .",1
37,6027,"As a member of Care of Hope , Barnett provides food for the street people catered to by the foundation on a regular basis . She , however , does n't mind having to cook to feed the homeless and the needy she said , because this is basically something that is already up her alley .",1
38,6027,"As a member of Care of Hope , Barnett provides food for the street people catered to by the foundation on a regular basis . She , however , does n't mind having to cook to feed the homeless and the needy she said , because this is basically something that is already up her alley .",1
39,6027,"As a member of Care of Hope, Barnett generally provides food items for the street people catered to us by the foundation on a regular basis. She, however, doesn't mind having to cook to better feed the homeless and the needy she then said, because sometimes this is only basically something there that is obviously already living up her alley.",1
40,6027,"As a member of Care of Hope, Barnett provides weekly food packages for the street people catered to by the foundation on a regular daily basis. She, in however, usually doesn't mind having to cook to feed the homeless children and the needy in she had said, only because this is basically something there that is already up her alley.",1
41,6027,"As a member of Care of Hope, Barnett generally provides food for the street people not catered to by the foundation on a regular monthly basis. She, however, doesn't mind having to the cook to feed the homeless children and the needy she previously said, because even this is basically something less that apparently is already far up her alley.",1
42,9343,"""Lougene has this message to others who may still be hooked on illegal drugs : """" Do n't be hopeless because there is hope . You can still change . That 's why whenever I see on TV drug users and dealers that were killed , I say to myself they should have been given a chance to change by bringing them to a place such as this . """"""",1
43,9343,"""Lougene has this message to others who may still be hooked on illegal drugs : """" Do n't be hopeless because there is hope . You can still change . That 's why whenever I see on TV drug users and dealers that were killed , I say to myself they should have been given a chance to change by bringing them to a place such as this . """"""",1
44,9343,"""Lougene has this message to others who may still be hooked on illegal drugs : """" Do n't be hopeless because there is hope . You can still change . That 's why whenever I see on TV drug users and dealers that were killed , I say to myself they should have been given a chance to change by bringing them to a place such as this . """"""",1
45,9343,""" Lougene has this message to others who may still still be hooked on more illegal drugs : "" "" Do n'ne t be hopeless because there never is hope. You can still change. That's why whenever that I see on US TV the drug users and dealers kids that were killed, I say to myself they still should have been given men a chance to change by bringing them to a place such as this. "" "" """,1
46,9343,""" Lougene still has this message to help others who may still not be hooked on illegal drugs : "" "" Don't be hopeless because there also is hope. You can still change. That's why whenever I ever see on TV drug users and dealers that were originally killed, I just say to tell myself they should have been given... a chance to change by not bringing them to a place such as this. "" "" """,1
47,9343,""" Da Lougene has this message to others who may still be hooked on illegal drugs : "" "" Do n'a t be hopeless there because there is no hope. You can still form change. That's why... whenever I see pictures on TV drug users and dealers that were killed, I say to myself they should have been simply given a chance to cause change by him bringing them to a place such as this. "" "" """,1
48,1231,"A harrowing journey Night falls early in this part of Morocco now and a cold winter looms , prompting the homeless Africans to take their chances before conditions worsen , and amid sometimes harsh treatment by authorities .",1
49,1231,"A harrowing journey Night falls early in this part of Morocco now and a cold winter looms , prompting the homeless Africans to take their chances before conditions worsen , and amid sometimes harsh treatment by authorities .",1
50,1231,"A harrowing journey Night falls early in this part of Morocco now and a cold winter looms , prompting the homeless Africans to take their chances before conditions worsen , and amid sometimes harsh treatment by authorities .",1
51,1231,"A deeply harrowing journey Of Night falls early but in this rough part of Morocco now and a cold winter looms, prompting the homeless Africans desperate to gradually take their chances again before conditions will worsen, and amid a sometimes harsh brutal treatment by authorities.",1
52,1231,"A harrowing journey Night falls early in of this part of Morocco is now and finally a cold winter looms, prompting the increasingly homeless Africans to quickly take their desperate chances before conditions can worsen, quickly and amid sometimes harsh physical treatment by French authorities.",1
53,1231,"Then A harrowing journey Night falls early afternoon in this remote part of Morocco now arrives and a cold grey winter looms, prompting all the homeless Africans to take their new chances before medical conditions worsen, and especially amid my sometimes harsh treatment by authorities.",1
54,911,"Those from poor families were more likely to leave school without qualifications , have babies before they were 20 , commit crimes , go on welfare and have addiction and other mental health problems in adulthood .",1
55,911,"Those from poor families were more likely to leave school without qualifications , have babies before they were 20 , commit crimes , go on welfare and have addiction and other mental health problems in adulthood .",1
56,911,"Those from poor families were more likely to leave school without qualifications , have babies before they were 20 , commit crimes , go on welfare and have addiction and other mental health problems in adulthood .",1
57,911,"Those from poor families were more likely trying to leave school and without qualifications, have babies before they either were 20, simply commit crimes, go on welfare benefits and to have substance addiction and do other mental health problems well in further adulthood.",1
58,911,"Those from poor domestic families that were more likely also to leave Catholic school without parental qualifications, have babies born before they were near 20, quickly commit crimes, go on welfare indefinitely and have addiction and other mental health support problems in adulthood.",1
59,911,"17 Those from poor families were more likely to legally leave school without qualifications, still have babies before they finally were to 20, commit crimes, go on welfare and later have drug addiction recovery and various other mental health problems still in adulthood.",1
